step,timestamp_s,rps,phase_idx
0,0,20,1
1,15,20,1
2,30,20,1
3,45,20,1
4,60,20,1
5,75,20,1
6,90,20,1
7,105,20,1
8,120,20,1
9,135,20,1
10,150,20,1
11,165,20,1
12,180,20,1
13,195,20,1
14,210,20,1
15,225,20,1
16,240,20,1
17,255,20,1
18,270,20,1
19,285,20,1
20,300,80,2
21,315,80,2
22,330,80,2
23,345,80,2
24,360,80,2
25,375,80,2
26,390,80,2
27,405,80,2
28,420,80,2
29,435,80,2
30,450,80,2
31,465,80,2
32,480,80,2
33,495,80,2
34,510,80,2
35,525,80,2
36,540,80,2
37,555,80,2
38,570,80,2
39,585,80,2
40,600,40,3
41,615,40,3
42,630,40,3
43,645,40,3
44,660,40,3
45,675,40,3
46,690,40,3
47,705,40,3
48,720,40,3
49,735,40,3
50,750,40,3
51,765,40,3
52,780,40,3
53,795,40,3
54,810,40,3
55,825,40,3
56,840,40,3
57,855,40,3
58,870,40,3
59,885,40,3
