step,timestamp_s,demand_rps,forecast_rps_t0,mpc_b0,hpa_replicas,mpc_replicas,hpa_recommended_replicas,mpc_recommended_replicas,hpa_utilization,mpc_utilization,hpa_overflow_replicas,mpc_overflow_replicas,mpc_status
0,0,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
1,15,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
2,30,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
3,45,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
4,60,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
5,75,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
6,90,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
7,105,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
8,120,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
9,135,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
10,150,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
11,165,20.0,20.0,0.0,2,2,2,2,0.4,0.4,0.0,0.0,optimal
12,180,200.0,83.0,2475.0,2,2,4,4,4.0,4.0,9.428571428571429,9.428571428571429,optimal
13,195,200.0,123.95,4425.0,4,4,6,6,2.0,2.0,7.428571428571429,7.428571428571429,optimal
14,210,20.0,87.56750000000001,3150.0,6,6,6,8,0.13333333333333333,0.13333333333333333,0.0,0.0,optimal
15,225,20.0,63.91887500000001,1350.0,6,8,6,8,0.13333333333333333,0.1,0.0,0.0,optimal
16,240,20.0,48.54726875000001,0.0,6,8,6,8,0.13333333333333333,0.1,0.0,0.0,optimal
17,255,20.0,38.5557246875,0.0,6,8,6,8,0.13333333333333333,0.1,0.0,0.0,optimal
18,270,20.0,32.061221046875005,0.0,6,8,6,8,0.13333333333333333,0.1,0.0,0.0,optimal
19,285,20.0,27.839793680468755,0.0,6,8,4,8,0.13333333333333333,0.1,0.0,0.0,optimal
20,300,20.0,25.09586589230469,0.0,4,8,4,8,0.2,0.1,0.0,0.0,optimal
21,315,20.0,23.31231282999805,0.0,4,8,4,8,0.2,0.1,0.0,0.0,optimal
22,330,20.0,22.15300333949873,0.0,4,8,4,8,0.2,0.1,0.0,0.0,optimal
23,345,20.0,21.399452170674174,0.0,4,8,4,8,0.2,0.1,0.0,0.0,optimal
24,360,20.0,20.909643910938215,0.0,4,8,4,8,0.2,0.1,0.0,0.0,optimal
25,375,20.0,20.591268542109837,0.0,4,8,2,8,0.2,0.1,0.0,0.0,optimal
